transaction_id,date,merchant,category,group,amount,account,type,status,notes
TX00001,2025-01-01,Acme Corp Payroll,Salary,Income,4250.0,Chase Total Checking,income,cleared,recurring
TX00002,2025-01-15,Acme Corp Payroll,Salary,Income,4250.0,Chase Total Checking,income,cleared,recurring
TX00003,2025-01-02,Evergreen Apartments Rent,Rent,Housing,-2450.0,Chase Total Checking,expense,cleared,recurring
TX00004,2025-01-05,Student Loan Servicer,Debt Payment,Finance,-420.0,Chase Total Checking,expense,cleared,recurring
TX00005,2025-01-07,Vanguard Automatic Investment,Investments,Savings,-900.0,Chase Total Checking,investment,cleared,recurring
TX00006,2025-01-08,Ally Emergency Fund Transfer,Emergency Fund,Savings,-650.0,Chase Total Checking,savings,cleared,recurring
TX00007,2025-01-10,Netflix,Entertainment,Lifestyle,-15.49,Chase Sapphire,expense,cleared,recurring
TX00008,2025-01-11,Spotify Family,Entertainment,Lifestyle,-16.99,Amex Blue Cash,expense,cleared,recurring
TX00009,2025-01-12,Geico Auto Insurance,Insurance,Transport,-118.0,Chase Total Checking,expense,cleared,recurring
TX00010,2025-01-18,Electric Utility,Utilities,Housing,-121.0,Chase Total Checking,expense,cleared,recurring
TX00011,2025-01-22,Internet Fiber,Utilities,Housing,-79.99,Chase Total Checking,expense,cleared,recurring
TX00012,2025-01-23,Costco,Groceries,Food,-75.08,Amex Blue Cash,expense,cleared,
TX00013,2025-01-27,Trader Joes,Groceries,Food,-144.57,Amex Blue Cash,expense,cleared,
TX00014,2025-01-03,Costco,Groceries,Food,-71.69,Amex Blue Cash,expense,cleared,
TX00015,2025-01-22,Trader Joes,Groceries,Food,-56.85,Amex Blue Cash,expense,cleared,
TX00016,2025-01-13,Safeway,Groceries,Food,-173.4,Amex Blue Cash,expense,cleared,
TX00017,2025-01-09,Whole Foods,Groceries,Food,-119.69,Amex Blue Cash,expense,cleared,
TX00018,2025-01-24,Kroger,Groceries,Food,-74.84,Amex Blue Cash,expense,cleared,
TX00019,2025-01-07,Safeway,Groceries,Food,-135.59,Amex Blue Cash,expense,cleared,
TX00020,2025-01-26,Whole Foods,Groceries,Food,-149.39,Amex Blue Cash,expense,cleared,
TX00021,2025-01-19,Chipotle,Dining Out,Food,-21.5,Chase Sapphire,expense,cleared,
TX00022,2025-01-27,DoorDash,Dining Out,Food,-22.33,Chase Sapphire,expense,cleared,
TX00023,2025-01-15,Starbucks,Dining Out,Food,-73.03,Chase Sapphire,expense,cleared,
TX00024,2025-01-02,DoorDash,Dining Out,Food,-69.48,Chase Sapphire,expense,cleared,
TX00025,2025-01-12,Uber Eats,Dining Out,Food,-15.47,Chase Sapphire,expense,cleared,
TX00026,2025-01-11,DoorDash,Dining Out,Food,-20.5,Chase Sapphire,expense,cleared,
TX00027,2025-01-21,Local Restaurant,Dining Out,Food,-23.72,Chase Sapphire,expense,cleared,
TX00028,2025-01-15,Chevron,Fuel,Transport,-72.87,Chase Sapphire,expense,cleared,
TX00029,2025-01-24,Shell,Fuel,Transport,-48.02,Chase Sapphire,expense,cleared,
TX00030,2025-01-21,Chevron,Fuel,Transport,-62.28,Chase Sapphire,expense,cleared,
